pipeline,migration type,star_cdp_one_sol,star_cdp_rand_sol,star_cdp_sc,paup_one_sol,paup_sc,startle_nni,Cassiopeia-Hybird
1b,Kidney-metastasis-2->Kidney-metastasis-3,51,54,55,71,75,58,
1b,Kidney-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
1b,Kidney-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,
1b,Kidney-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,
1b,Kidney-metastasis-1->Kidney-metastasis-2,0,0,2,0,0,2,
1b,Kidney-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,
1b,Kidney-metastasis-1->Kidney-metastasis-3,1,1,3,3,2,1,
1b,Primary-tumor-1->Lymph-tissue-metastasis-1,20,18,17,11,10,20,
1b,Primary-tumor-1->Lung-metastasis-2,1,1,1,1,1,1,
1b,Primary-tumor-1->Lung-metastasis-1,2,2,2,2,2,4,
1b,Primary-tumor-1->Kidney-metastasis-2,5,7,7,6,7,8,
1b,Primary-tumor-1->Kidney-metastasis-1,2,2,1,2,3,2,
1b,Primary-tumor-1->Kidney-metastasis-3,8,10,7,8,10,4,
1b,Kidney-metastasis-3->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
1b,Kidney-metastasis-3->Lung-metastasis-2,0,0,0,0,0,0,
1b,Kidney-metastasis-3->Lung-metastasis-1,0,0,0,0,0,0,
1b,Kidney-metastasis-3->Kidney-metastasis-2,43,36,36,25,20,42,
1b,Kidney-metastasis-3->Kidney-metastasis-1,4,3,3,2,1,5,
1b,Kidney-metastasis-3->Primary-tumor-1,1,1,1,3,1,6,
1b,reseeding,2,2,4,8,7,9,
1b,migration,147,146,149,150,149,168,
1c,Lymph-tissue-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,
1c,Lymph-tissue-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,
1c,Lymph-tissue-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,0,
1c,Lymph-tissue-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,
1c,Lymph-tissue-metastasis-1->Primary-tumor-1,4,2,2,5,5,1,
1c,Lymph-tissue-metastasis-1->Kidney-metastasis-3,0,0,0,0,0,0,
1c,Lung-metastasis-2->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
1c,Lung-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,
1c,Lung-metastasis-2->Kidney-metastasis-2,0,0,0,0,0,0,
1c,Lung-metastasis-2->Kidney-metastasis-1,2,3,3,3,3,5,
1c,Lung-metastasis-2->Primary-tumor-1,0,0,0,0,0,0,
1c,Lung-metastasis-2->Kidney-metastasis-3,0,0,0,0,0,0,
1c,Lung-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
1c,Lung-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,
1c,Lung-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,1,
1c,Lung-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,
1c,Lung-metastasis-1->Primary-tumor-1,0,0,0,0,0,3,
1c,Lung-metastasis-1->Kidney-metastasis-3,1,1,1,1,1,0,
1c,Kidney-metastasis-2->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
1c,Kidney-metastasis-2->Lung-metastasis-2,0,0,0,0,0,0,
1c,Kidney-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,
1c,Kidney-metastasis-2->Kidney-metastasis-1,6,7,8,7,7,6,
1c,Kidney-metastasis-2->Primary-tumor-1,1,1,1,1,1,0,
1c,Kidney-metastasis-2->Kidney-metastasis-3,71,76,65,57,64,48,
1c,Kidney-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
1c,Kidney-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,
1c,Kidney-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,
1c,Kidney-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,1,
1c,Kidney-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,
1c,Kidney-metastasis-1->Kidney-metastasis-3,1,3,2,4,4,1,
1c,Primary-tumor-1->Lymph-tissue-metastasis-1,15,16,17,10,10,19,
1c,Primary-tumor-1->Lung-metastasis-2,1,1,1,1,1,1,
1c,Primary-tumor-1->Lung-metastasis-1,2,2,2,2,2,2,
1c,Primary-tumor-1->Kidney-metastasis-2,5,7,7,5,7,9,
1c,Primary-tumor-1->Kidney-metastasis-1,2,1,1,2,2,2,
1c,Primary-tumor-1->Kidney-metastasis-3,8,4,7,8,10,4,
1c,Kidney-metastasis-3->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
1c,Kidney-metastasis-3->Lung-metastasis-2,0,0,0,0,0,0,
1c,Kidney-metastasis-3->Lung-metastasis-1,0,0,0,0,0,1,
1c,Kidney-metastasis-3->Kidney-metastasis-2,24,18,26,36,28,51,
1c,Kidney-metastasis-3->Kidney-metastasis-1,3,3,2,2,2,5,
1c,Kidney-metastasis-3->Primary-tumor-1,1,0,1,2,1,7,
1c,reseeding,6,3,4,8,7,11,
1c,migration,147,145,146,146,148,167,
2a,Lymph-tissue-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,0
2a,Lymph-tissue-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,0
2a,Lymph-tissue-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,0,0
2a,Lymph-tissue-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,0
2a,Lymph-tissue-metastasis-1->Primary-tumor-1,2,2,1,1,1,2,1
2a,Lymph-tissue-metastasis-1->Kidney-metastasis-3,0,0,0,0,0,0,0
2a,Lung-metastasis-2->Lymph-tissue-metastasis-1,0,0,0,0,0,0,0
2a,Lung-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,0
2a,Lung-metastasis-2->Kidney-metastasis-2,0,0,0,0,0,0,0
2a,Lung-metastasis-2->Kidney-metastasis-1,3,3,3,3,3,3,3
2a,Lung-metastasis-2->Primary-tumor-1,0,0,0,0,0,0,0
2a,Lung-metastasis-2->Kidney-metastasis-3,0,0,0,0,0,0,0
2a,Lung-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,0
2a,Lung-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,0
2a,Lung-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,0,2
2a,Lung-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,0
2a,Lung-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,2
2a,Lung-metastasis-1->Kidney-metastasis-3,1,2,1,1,1,0,2
2a,Kidney-metastasis-2->Lymph-tissue-metastasis-1,0,0,0,0,0,0,0
2a,Kidney-metastasis-2->Lung-metastasis-2,0,0,0,0,0,0,0
2a,Kidney-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,0
2a,Kidney-metastasis-2->Kidney-metastasis-1,7,7,6,6,6,5,7
2a,Kidney-metastasis-2->Primary-tumor-1,0,0,0,0,0,2,0
2a,Kidney-metastasis-2->Kidney-metastasis-3,78,78,61,72,72,52,88
2a,Kidney-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,0
2a,Kidney-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,0
2a,Kidney-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,0
2a,Kidney-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,0,0
2a,Kidney-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,0
2a,Kidney-metastasis-1->Kidney-metastasis-3,1,2,1,1,1,0,2
2a,Primary-tumor-1->Lymph-tissue-metastasis-1,18,17,20,20,20,17,20
2a,Primary-tumor-1->Lung-metastasis-2,1,1,1,1,1,1,1
2a,Primary-tumor-1->Lung-metastasis-1,2,2,2,2,2,5,2
2a,Primary-tumor-1->Kidney-metastasis-2,8,7,8,7,8,8,8
2a,Primary-tumor-1->Kidney-metastasis-1,2,2,2,2,2,4,2
2a,Primary-tumor-1->Kidney-metastasis-3,8,8,8,7,8,9,9
2a,Kidney-metastasis-3->Lymph-tissue-metastasis-1,0,0,0,0,0,0,0
2a,Kidney-metastasis-3->Lung-metastasis-2,0,0,0,0,0,0,0
2a,Kidney-metastasis-3->Lung-metastasis-1,0,0,1,0,1,1,1
2a,Kidney-metastasis-3->Kidney-metastasis-2,20,22,46,31,31,46,23
2a,Kidney-metastasis-3->Kidney-metastasis-1,1,1,2,2,2,5,1
2a,Kidney-metastasis-3->Primary-tumor-1,2,2,2,2,2,1,1
2a,reseeding,4,4,3,3,3,5,4
2a,migration,154,156,165,158,161,161,175
2b,Lymph-tissue-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,
2b,Lymph-tissue-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,
2b,Lymph-tissue-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,0,
2b,Lymph-tissue-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,
2b,Lymph-tissue-metastasis-1->Primary-tumor-1,1,1,2,2,2,1,
2b,Lymph-tissue-metastasis-1->Kidney-metastasis-3,0,0,0,0,0,0,
2b,Lung-metastasis-2->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
2b,Lung-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,
2b,Lung-metastasis-2->Kidney-metastasis-2,0,0,0,0,0,0,
2b,Lung-metastasis-2->Kidney-metastasis-1,3,3,3,3,3,3,
2b,Lung-metastasis-2->Primary-tumor-1,0,0,0,0,0,0,
2b,Lung-metastasis-2->Kidney-metastasis-3,0,0,0,0,0,0,
2b,Lung-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
2b,Lung-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,
2b,Lung-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,0,
2b,Lung-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,
2b,Lung-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,
2b,Lung-metastasis-1->Kidney-metastasis-3,1,2,1,1,1,0,
2b,Kidney-metastasis-2->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
2b,Kidney-metastasis-2->Lung-metastasis-2,0,0,0,0,0,0,
2b,Kidney-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,
2b,Kidney-metastasis-2->Kidney-metastasis-1,7,7,8,8,6,6,
2b,Kidney-metastasis-2->Primary-tumor-1,0,0,0,0,0,2,
2b,Kidney-metastasis-2->Kidney-metastasis-3,76,80,75,85,80,58,
2b,Kidney-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
2b,Kidney-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,
2b,Kidney-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,
2b,Kidney-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,0,
2b,Kidney-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,
2b,Kidney-metastasis-1->Kidney-metastasis-3,2,2,3,2,2,0,
2b,Primary-tumor-1->Lymph-tissue-metastasis-1,20,19,18,17,17,18,
2b,Primary-tumor-1->Lung-metastasis-2,1,1,1,1,1,1,
2b,Primary-tumor-1->Lung-metastasis-1,2,2,2,2,2,4,
2b,Primary-tumor-1->Kidney-metastasis-2,8,7,8,7,8,5,
2b,Primary-tumor-1->Kidney-metastasis-1,2,2,2,2,2,4,
2b,Primary-tumor-1->Kidney-metastasis-3,8,8,8,7,8,4,
2b,Kidney-metastasis-3->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
2b,Kidney-metastasis-3->Lung-metastasis-2,0,0,0,0,0,0,
2b,Kidney-metastasis-3->Lung-metastasis-1,0,0,0,0,0,2,
2b,Kidney-metastasis-3->Kidney-metastasis-2,18,16,17,6,15,42,
2b,Kidney-metastasis-3->Kidney-metastasis-1,1,1,0,0,2,4,
2b,Kidney-metastasis-3->Primary-tumor-1,2,2,2,2,2,5,
2b,reseeding,3,3,4,4,4,8,
2b,migration,152,153,150,145,151,159,
2c,Lymph-tissue-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,
2c,Lymph-tissue-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,
2c,Lymph-tissue-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,0,
2c,Lymph-tissue-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,
2c,Lymph-tissue-metastasis-1->Primary-tumor-1,2,2,2,2,2,0,
2c,Lymph-tissue-metastasis-1->Kidney-metastasis-3,0,0,0,0,0,0,
2c,Lung-metastasis-2->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
2c,Lung-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,
2c,Lung-metastasis-2->Kidney-metastasis-2,0,0,0,0,0,0,
2c,Lung-metastasis-2->Kidney-metastasis-1,3,3,3,3,3,3,
2c,Lung-metastasis-2->Primary-tumor-1,0,0,0,0,0,0,
2c,Lung-metastasis-2->Kidney-metastasis-3,0,0,0,0,0,0,
2c,Lung-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
2c,Lung-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,
2c,Lung-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,2,
2c,Lung-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,
2c,Lung-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,
2c,Lung-metastasis-1->Kidney-metastasis-3,1,2,1,1,1,0,
2c,Kidney-metastasis-2->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
2c,Kidney-metastasis-2->Lung-metastasis-2,0,0,0,0,0,0,
2c,Kidney-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,
2c,Kidney-metastasis-2->Kidney-metastasis-1,6,8,7,7,6,7,
2c,Kidney-metastasis-2->Primary-tumor-1,0,1,0,0,0,3,
2c,Kidney-metastasis-2->Kidney-metastasis-3,76,83,75,84,80,61,
2c,Kidney-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
2c,Kidney-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,
2c,Kidney-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,
2c,Kidney-metastasis-1->Kidney-metastasis-2,1,0,1,0,0,0,
2c,Kidney-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,
2c,Kidney-metastasis-1->Kidney-metastasis-3,2,2,2,1,1,1,
2c,Primary-tumor-1->Lymph-tissue-metastasis-1,18,17,18,18,18,20,
2c,Primary-tumor-1->Lung-metastasis-2,1,1,1,1,1,1,
2c,Primary-tumor-1->Lung-metastasis-1,2,2,2,2,2,3,
2c,Primary-tumor-1->Kidney-metastasis-2,8,6,8,7,8,6,
2c,Primary-tumor-1->Kidney-metastasis-1,2,2,2,2,2,4,
2c,Primary-tumor-1->Kidney-metastasis-3,8,7,8,7,8,4,
2c,Kidney-metastasis-3->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
2c,Kidney-metastasis-3->Lung-metastasis-2,0,0,0,0,0,0,
2c,Kidney-metastasis-3->Lung-metastasis-1,0,0,0,0,0,3,
2c,Kidney-metastasis-3->Kidney-metastasis-2,16,15,18,15,17,30,
2c,Kidney-metastasis-3->Kidney-metastasis-1,2,0,1,1,2,3,
2c,Kidney-metastasis-3->Primary-tumor-1,2,2,2,2,2,2,
2c,reseeding,4,5,4,4,4,5,
2c,migration,150,153,151,153,153,153,
